Trial,ToneType,RewardGiven,Timestamp,Elapsed_ms,LickCount
1,Tone2_high,None,2025-07-24 14:07:18,2603,68
2,Tone2_high,None,2025-07-24 14:07:24,8132,38
3,Tone2_high,None,2025-07-24 14:07:29,13409,18
4,Tone2_high,None,2025-07-24 14:07:33,17769,21
5,Tone1_low,Reward,2025-07-24 14:07:37,21806,37
6,Tone1_low,Reward,2025-07-24 14:07:42,26407,77
7,Tone1_low,Reward,2025-07-24 14:07:47,31268,139

SUMMARY
Reward Avg Lick,No-Reward Avg Lick,Reward/No-reward Ratio
84.33,36.25,2.33
