Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,0,0,0
0.252898700,0,0,1,0,0,0,0
0.327911500,0,0,0,0,0,0,0
0.328064400,0,0,0,0,1,0,0
0.328064500,0,0,0,0,0,0,0
0.328069400,0,0,0,0,1,0,0
0.328069500,0,0,0,0,0,0,0
0.328089800,0,0,0,0,1,0,0
0.328090200,0,0,0,0,0,0,0
0.328090600,0,0,0,0,1,0,0
0.328090900,0,0,0,0,0,0,0
0.328091300,0,0,0,0,1,0,0
0.328091700,0,0,0,0,0,0,0
0.328092000,0,0,0,0,1,0,0
0.328092400,0,0,0,0,0,0,0
0.328092800,0,0,0,0,1,0,0
0.328093100,0,0,0,0,0,0,0
0.328093500,0,0,0,0,1,0,0
0.328093800,0,0,0,0,0,0,0
0.328094300,0,0,0,0,1,0,0
0.328094500,0,0,0,0,0,0,0
0.328095000,0,0,0,0,1,0,0
0.328095300,0,0,0,0,0,0,0
0.328095700,0,0,0,0,1,0,0
0.328096000,0,0,0,0,0,0,0
0.328096500,0,0,0,0,1,0,0
0.328096800,0,0,0,0,0,0,0
0.328097300,0,0,0,0,1,0,0
0.328097500,0,0,0,0,0,0,0
0.328098000,0,0,0,0,1,0,0
0.328098100,0,0,0,0,0,0,0
0.328105200,0,0,0,0,1,0,0
0.328105400,0,0,0,0,0,0,0
0.328106000,0,0,0,0,1,0,0
0.328106200,0,0,0,0,0,0,0
0.328106800,0,0,0,0,1,0,0
0.328107100,0,0,0,0,0,0,0
0.328107500,0,0,0,0,1,0,0
0.328107900,0,0,0,0,0,0,0
0.328108300,0,0,0,0,1,0,0
0.328108700,0,0,0,0,0,0,0
0.328109100,0,0,0,0,1,0,0
0.328109500,0,0,0,0,0,0,0
0.328109900,0,0,0,0,1,0,0
0.328110300,0,0,0,0,0,0,0
0.328110700,0,0,0,0,1,0,0
0.328132000,0,0,0,0,0,0,0
5.306777600,0,0,0,0,0,0,0
