Trial,ToneType,RewardGiven,Timestamp,Elapsed_ms,LickCount
1,TIMEOUT,None,2025-08-01 14:16:44,10010,0
2,TIMEOUT,None,2025-08-01 14:16:55,20520,0
3,TIMEOUT,None,2025-08-01 14:17:05,31025,0
4,TIMEOUT,None,2025-08-01 14:17:16,41532,0
5,TIMEOUT,None,2025-08-01 14:17:26,52055,0
6,TIMEOUT,None,2025-08-01 14:17:37,62557,0
7,TIMEOUT,None,2025-08-01 14:17:47,73069,0
8,TIMEOUT,None,2025-08-01 14:17:58,83572,0
9,TIMEOUT,None,2025-08-01 14:18:08,94082,0

SUMMARY
Reward Avg Lick,No-Reward Avg Lick,Reward/No-reward Ratio
0.00,0.00,inf
