Trial,ToneType,RewardGiven,Timestamp,Elapsed_ms,LickCount
1,TIMEOUT,None,2025-08-01 14:18:32,10002,0
2,TIMEOUT,None,2025-08-01 14:18:42,20510,0
3,TIMEOUT,None,2025-08-01 14:18:53,31317,0
4,TIMEOUT,None,2025-08-01 14:19:03,41826,0
5,TIMEOUT,None,2025-08-01 14:19:14,52333,0
6,TIMEOUT,None,2025-08-01 14:19:24,62849,0
7,TIMEOUT,None,2025-08-01 14:19:35,73357,0
8,TIMEOUT,None,2025-08-01 14:19:46,83867,0
9,TIMEOUT,None,2025-08-01 14:19:56,94369,0
10,TIMEOUT,None,2025-08-01 14:20:07,104883,0
11,TIMEOUT,None,2025-08-01 14:20:17,115406,0
12,TIMEOUT,None,2025-08-01 14:20:28,125917,0
13,TIMEOUT,None,2025-08-01 14:20:38,136428,0
14,TIMEOUT,None,2025-08-01 14:20:49,146943,0
15,TIMEOUT,None,2025-08-01 14:20:59,157453,0
16,TIMEOUT,None,2025-08-01 14:21:10,167983,0
17,TIMEOUT,None,2025-08-01 14:21:20,178498,0
18,TIMEOUT,None,2025-08-01 14:21:31,189014,0
19,TIMEOUT,None,2025-08-01 14:21:41,199529,0
20,TIMEOUT,None,2025-08-01 14:21:52,210045,0
21,TIMEOUT,None,2025-08-01 14:22:02,220560,0
22,TIMEOUT,None,2025-08-01 14:22:13,231074,0
23,TIMEOUT,None,2025-08-01 14:22:23,241587,0
24,TIMEOUT,None,2025-08-01 14:22:34,252111,0
25,TIMEOUT,None,2025-08-01 14:22:44,262622,0
26,TIMEOUT,None,2025-08-01 14:22:55,273141,0
27,TIMEOUT,None,2025-08-01 14:23:05,283660,0
28,TIMEOUT,None,2025-08-01 14:23:16,294181,0
29,TIMEOUT,None,2025-08-01 14:23:26,304705,0
30,TIMEOUT,None,2025-08-01 14:23:37,315239,0
31,TIMEOUT,None,2025-08-01 14:23:47,325773,0
32,TIMEOUT,None,2025-08-01 14:23:58,336288,0
33,TIMEOUT,None,2025-08-01 14:24:08,346813,0
34,TIMEOUT,None,2025-08-01 14:24:19,357334,0
35,TIMEOUT,None,2025-08-01 14:24:29,367845,0
36,TIMEOUT,None,2025-08-01 14:24:40,378372,0
37,TIMEOUT,None,2025-08-01 14:24:51,388899,0
38,TIMEOUT,None,2025-08-01 14:25:01,399419,0
39,TIMEOUT,None,2025-08-01 14:25:12,409952,0
40,TIMEOUT,None,2025-08-01 14:25:22,420465,0
41,TIMEOUT,None,2025-08-01 14:25:33,430985,0
42,TIMEOUT,None,2025-08-01 14:25:43,441505,0
43,TIMEOUT,None,2025-08-01 14:25:54,452017,0
44,TIMEOUT,None,2025-08-01 14:26:04,462524,0
45,TIMEOUT,None,2025-08-01 14:26:15,473043,0
46,TIMEOUT,None,2025-08-01 14:26:25,483560,0

SUMMARY
Reward Avg Lick,No-Reward Avg Lick,Reward/No-reward Ratio
0.00,0.00,inf
