Trial,ToneType,RewardGiven,Timestamp,Elapsed_ms,LickCount
1,TIMEOUT,None,2025-08-01 14:11:33,10342,0
2,TIMEOUT,None,2025-08-01 14:11:43,20854,0
3,TIMEOUT,None,2025-08-01 14:11:54,31360,0
4,TIMEOUT,None,2025-08-01 14:12:04,41861,0
5,TIMEOUT,None,2025-08-01 14:12:15,52379,0
6,TIMEOUT,None,2025-08-01 14:12:26,62885,0
7,TIMEOUT,None,2025-08-01 14:12:36,73388,0
8,TIMEOUT,None,2025-08-01 14:12:47,83900,0
9,TIMEOUT,None,2025-08-01 14:12:57,94422,0
10,TIMEOUT,None,2025-08-01 14:13:08,104936,0
11,TIMEOUT,None,2025-08-01 14:13:18,115452,0

SUMMARY
Reward Avg Lick,No-Reward Avg Lick,Reward/No-reward Ratio
0.00,0.00,inf
